"Subject","Week","Strength"
1,0,59.4645315441803
1,1,63.4280830211356
1,2,58.0770708335087
1,3,62.2972147020986
1,4,64.588149562946
2,0,48.4484099391597
2,1,48.6080033001874
2,2,45.86359830121
2,3,48.2955752858685
2,4,57.8167358344799
3,0,51.2023648685297
3,1,50.2530251887267
3,2,55.4718073451675
3,3,60.2449914550319
3,4,63.6060289792166
4,0,52.3033747615928
4,1,54.6497742592673
4,2,53.6379868544156
4,3,60.0845077344677
4,4,59.884323272885
5,0,52.9322418621874
5,1,55.4310162901626
5,2,58.0915486596448
5,3,56.8034888648906
5,4,61.0312518623009
6,0,46.0353600613959
6,1,49.9004594027836
6,2,51.7675622311895
6,3,50.6409621196493
6,4,57.5416226333271
7,0,57.9696071875952
7,1,58.8354953900974
7,2,63.0739364585937
7,3,62.1042003330415
7,4,62.8210478983561
8,0,50.392340859712
8,1,49.9039184555612
8,2,56.414907331377
8,3,54.6638124027078
8,4,58.8380005747389
9,0,60.7359690997931
9,1,60.5244406876245
9,2,67.2435736089692
9,3,67.3779171808198
9,4,68.2716398625844
10,0,50.2395309993208
10,1,53.0450071368484
10,2,53.8660952778961
10,3,49.700249338432
10,4,58.2561954117992
